Username,Tweet URL,Timestamp,Comments,Likes,Retweets,Quotes,emoji_sent,neg,neu,pos,compound,word_token
YEVOTX,https://twitter.com/YEVOTX/status/1478295607651577859,2022-01-04,0,2,1,0,-0.133,0.0,0.0,0.0,0.0,"act,like,connect,twitch,server,stream,tonight"
Anja_Anna,https://twitter.com/Anja_Anna/status/1478239700129402882,2022-01-04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"expand,beyond,everyon,seen,way,teach,peopl,live,along,start,school,drop,messag,like,via,xbox,make,true,aliv,cartoon,move,presenc,toward,mentor,new,time"
Awilschewski_7,https://twitter.com/Awilschewski_7/status/1478225090705772547,2022-01-04,0,10,0,0,0.0,0.0,0.0,0.0,0.0,"super,bowl,time,winter,play,station"
_DaeneRaaassss_,https://twitter.com/_DaeneRaaassss_/status/1478191248376680449,2022-01-04,2,5,0,0,0.0,0.0,0.0,0.0,0.0,"turn,wifi,contact,bank,microsoft,dem,hope,u,money,back,cuz,co,faster,nickel,sack,damn,ago,tho,gone,babi,damn,get,shit,til,christma"
KingChriis1,https://twitter.com/KingChriis1/status/1478163455567872011,2022-01-04,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"yessir,magic"
GameTyrant,https://twitter.com/GameTyrant/status/1478871510605565952,2022-01-05,0,4,2,0,0.0,0.0,0.0,0.0,0.0,"elder,scroll,onlin,head,new,shore,eso,elderscrol,zenimaxonlinestudio,zenimax,bethesda,xbox,stadium,gamingnew"
rockieedior,https://twitter.com/rockieedior/status/1478848873460289544,2022-01-05,0,0,0,1,0.0,0.0,0.0,0.0,0.0,"lem,buy,nigga,love,play,game"
ksman09,https://twitter.com/ksman09/status/1478840126289887232,2022-01-05,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"gawddayumnn,want,month,ago"
Fiesta_Bowl,https://twitter.com/Fiesta_Bowl/status/1478836185451487236,2022-01-05,3,606,49,4,0.3626666666666667,0.0,0.0,0.0,0.0,"𝐖𝐚𝐥𝐥𝐩𝐚𝐩𝐞𝐫,𝐖𝐞𝐝𝐧𝐞𝐬𝐝𝐚𝐲,celebr,cowboyfb,fiestabowl,championship"
strages,https://twitter.com/strages/status/1478835883113594886,2022-01-05,0,2,1,0,0.0,0.0,0.0,0.0,0.0,"good,news,everyon,retro,game,night,sidetrack,saturday,big,screen,worri,ne,sega,genesi,sne"
__JClark,https://twitter.com/__JClark/status/1478828635150635009,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,miss
yasashii_JP,https://twitter.com/yasashii_JP/status/1478810225939517448,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"like,girl,let,control"
ksman09,https://twitter.com/ksman09/status/1478808827696979971,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"gawddayumnn,geoffkeighley,year,one,game,one,point,said,twist,metal,good,game,year,one,consol,stack"
HausOfPapi,https://twitter.com/HausOfPapi/status/1478807955843825667,2022-01-05,2,4,0,0,0.063,0.0,0.0,0.0,0.0,"game,wishlist,sale,tempt,buy"
adayaguilar,https://twitter.com/adayaguilar/status/1478772679092371456,2022-01-05,1,0,0,0,0.0,0.0,0.0,0.0,0.0,"jacobherold,amp,joindeeprock,consider,add,crossplay,support,p,friend,game,platform,would,love,play,soni,crossplay"
adayaguilar,https://twitter.com/adayaguilar/status/1478771776762957824,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"joindeeprock,ever,consider,crossplay,friend,deep,rock,platform,would,love,play,deeprockgalact,soni,crossplay"
GillinOakhill,https://twitter.com/GillinOakhill/status/1478731782224760842,2022-01-05,1,2,0,0,0.0,0.0,0.0,0.0,0.0,"go,like,sub,xiyas,youtub,battlefield,gamer"
SportsTechieNET,https://twitter.com/SportsTechieNET/status/1478711031979556871,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"patent,new,softwar,featur,coach,struggl,player,via,pressstartau"
KingChriis1,https://twitter.com/KingChriis1/status/1478676940202692609,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"recap,come,lol"
realisojoe,https://twitter.com/realisojoe/status/1478621101777424385,2022-01-05,1,0,0,1,0.0,0.0,0.0,0.0,0.0,"prove,time,time,shit,as,consol,compar,xbox"
JamesAshleyHolm,https://twitter.com/JamesAshleyHolm/status/1478616304508616704,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"like,abl,actual,avail"
justplainluck,https://twitter.com/justplainluck/status/1478598737236684801,2022-01-05,0,2,0,0,0.273,0.0,0.0,0.0,0.0,"charalanahzard,guerrilla,firespritegam,part,fortun,check"
TheMarkening,https://twitter.com/TheMarkening/status/1478594318952710144,2022-01-05,1,4,1,0,0.0,0.0,0.0,0.0,0.0,"excit,come,truli,think,may,final,make,vr,mass,support,platform,huge,look,forward,assum,blog,even,bigger,aspir"
Aprille_V,https://twitter.com/Aprille_V/status/1478571295671521282,2022-01-05,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"jedi,mind,trick,zach,play,threw,blanket,dryer,sit,cozi,read,play,game,marriag,easi,yall"
GameTyrant,https://twitter.com/GameTyrant/status/1478569485514776584,2022-01-05,0,3,0,0,0.0,0.0,0.0,0.0,0.0,"soni,reveal,tech,spec,horizon,vr,game,psvrsens,horizonforbiddenwest,horizoncallofthemountain,virtualr,soni,gamingnew"
ksman09,https://twitter.com/ksman09/status/1478568561350266883,2022-01-05,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"gawddayumnn,still,find,plenti,time,play,say,apex,player,suck,lol"
ksman09,https://twitter.com/ksman09/status/1478566742167375876,2022-01-05,3,7,0,0,0.0,0.0,0.0,0.0,0.0,"gawddayumnn,geoffkeighley,point,mani,great,titl,twist,metal,list,year,one,even,includ,god,war,game,year,winner,horizon,unchart,name"
angeljimenez,https://twitter.com/angeljimenez/status/1478559728129216516,2022-01-05,4,5,0,0,0.0,0.0,0.0,0.0,0.0,"nueva,versión,de,vr"
iSleepyyGamerr,https://twitter.com/iSleepyyGamerr/status/1478558194909777922,2022-01-05,1,0,0,0,0.0,0.0,0.0,0.0,0.0,"joindeeprock,plan,ad,lfg,discord,icon,welcom,page,show,platform,plan"
BrotherDarknes7,https://twitter.com/BrotherDarknes7/status/1478545442430455809,2022-01-05,0,2,0,0,0.0,0.0,0.0,0.0,0.0,"gamer,eat,good"
Hwptr,https://twitter.com/Hwptr/status/1478539022314135557,2022-01-05,1,1,1,0,0.26733333333333337,0.0,0.0,0.0,0.0,"yeni,sanal,gerçeklik,gözlüğü,duyuruyor,çözünürlük,horizon,vr,oyunu,ile,geliyor,soni"
duladoesit,https://twitter.com/duladoesit/status/1478524640322543619,2022-01-05,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"play,enjoy,sight"
jimmygt06,https://twitter.com/jimmygt06/status/1479238533491605507,2022-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"spiderman,mile,moral,fun,great,graphic,storylin,far,pretti,cool"
strages,https://twitter.com/strages/status/1479236097569804288,2022-01-06,0,0,1,0,0.0,0.0,0.0,0.0,0.0,"tuesday,edm,music,great,food,retro,video,game,ne,sega,genesi,sne,setup,along,game,rememb,sidetrack,music,hall"
ReidGoCrazy,https://twitter.com/ReidGoCrazy/status/1479230055503081473,2022-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"disc,version,disc,version,atlanta,georgia"
average_moe,https://twitter.com/average_moe/status/1479184287358500877,2022-01-06,0,1,0,0,0.0,0.0,0.0,0.0,0.0,"addm,averagemoeshow"
ItsEricAaberg,https://twitter.com/ItsEricAaberg/status/1479179762874691591,2022-01-06,1,0,0,0,0.063,0.0,0.0,0.0,0.0,"shaneeditor,xbox,ta,check"
ItsEricAaberg,https://twitter.com/ItsEricAaberg/status/1479179680255254528,2022-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"thedgold,xbox,honestli,yeah,integr,window,amaz"
mshilling1821,https://twitter.com/mshilling1821/status/1479168516725121028,2022-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"torahhors,question,tattletail,ever,avail,xbox"
H2OxFreeWillyx,https://twitter.com/H2OxFreeWillyx/status/1479164900169629697,2022-01-06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"xboxgamepass,complet,shut,argument,consol,war,xbox,amp,xboxgamepass,unmatch,xboxseriesx"
